,NodeCount,ConnectedComponentCount,MortalityRate,TimeToDeath,TimeToRecovery,CommunicationTime,ResistantProportion,Time,Infected,Resistant,Recovered,Dead,Communication,Weighted
436,4039,1,0.2,25,25,1,0.1,197.01193280179126,3162,356,2530,632,79682,True
437,4039,1,0.2,25,25,1,0.1,242.22148281646912,3399,404,2703,696,84720,False
438,4039,1,0.2,25,25,1,0.1,214.81726707996603,3361,370,2654,707,84517,True
439,4039,1,0.2,25,25,1,0.1,272.31668000958996,3365,388,2643,722,82057,False
440,4039,1,0.2,25,25,1,0.1,222.70020336202046,3091,334,2497,594,79071,True
441,4039,1,0.2,25,25,1,0.1,230.13406812498422,3452,364,2737,715,86374,False
442,4039,1,0.2,25,25,1,0.1,249.11735676473057,3324,357,2665,659,83430,True
443,4039,1,0.2,25,25,1,0.1,271.5999218409302,3440,382,2688,752,87143,False
444,4039,1,0.2,25,25,1,0.1,287.9649563269972,3279,384,2617,662,81614,True
445,4039,1,0.2,25,25,1,0.1,54.47164838487065,30,7,24,6,438,False
446,4039,1,0.2,25,25,1,0.1,206.67788990186654,158,10,127,31,3611,True
447,4039,1,0.2,25,25,1,0.1,211.35712841387664,3384,377,2663,721,83283,False
448,4039,1,0.2,25,25,1,0.1,201.5528422800779,3281,359,2594,687,81921,True
449,4039,1,0.2,25,25,1,0.1,146.23220529972545,157,13,125,32,3777,False
450,4039,1,0.2,25,25,1,0.1,308.1912729217181,816,94,672,144,20142,True
451,4039,1,0.2,25,25,1,0.1,318.60132734745366,3410,360,2719,691,84811,False
452,4039,1,0.2,25,25,1,0.1,230.46703450052888,3098,312,2502,596,77801,True
453,4039,1,0.2,25,25,1,0.1,232.84082123179948,3253,350,2601,652,81014,False
454,4039,1,0.2,25,25,1,0.1,218.71648422208636,3330,394,2670,660,82663,True
455,4039,1,0.2,25,25,1,0.1,242.6196062527943,3492,341,2823,669,88645,False
456,4039,1,0.2,25,25,1,0.1,263.0326623437382,3373,359,2686,687,82851,True
457,4039,1,0.2,25,25,1,0.1,228.47728978825705,3398,348,2724,674,82299,False
458,4039,1,0.2,25,25,1,0.1,196.34763693377462,3152,333,2567,585,76957,True
459,4039,1,0.2,25,25,1,0.1,265.40171286267116,3408,390,2715,693,83140,False
460,4039,1,0.2,25,25,1,0.1,276.8162534586208,3166,359,2566,600,77434,True
461,4039,1,0.2,25,25,1,0.1,230.7132144457057,3243,364,2628,615,80669,False
462,4039,1,0.2,25,25,1,0.1,228.96619223059247,3291,370,2617,674,82614,True
463,4039,1,0.2,25,25,1,0.1,239.00648044347113,3488,385,2773,715,88772,False
464,4039,1,0.2,25,25,1,0.1,196.61846080062375,671,64,516,155,16035,True
465,4039,1,0.2,25,25,1,0.1,231.02910061837588,2791,335,2261,530,69690,False
